Region,Country Code,Country Name,Agricultural land (% of land area),Agricultural land (sq. km),Armed forces personnel (% of total labor force),"Armed forces personnel, total",Average precipitation in depth (mm per year),"Birth rate, crude (per 1,000 people)","Current education expenditure, total (% of total expenditure in public institutions)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"Current health expenditure per capita, PPP (current international $)",Forest area (% of land area),Forest area (sq. km),GDP (current US$),GDP per capita (current US$),"GDP per capita, PPP (current international $)","International tourism, receipts (% of total exports)","Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)",Mobile cellular subscriptions (per 100 people),Number of deaths ages 20-24 years,Population in largest city,Population in the largest city (% of urban population),"Population, total"
West Asia & North Africa,IRQ,Iraq,21,"92,500",2,"209,000",216,29,,4,203,429,2,"8,250","187,217,660,051","4,725","9,977",5,70,86,84,"3,414","6,654,984",24,"39,621,162"
West Asia & North Africa,ISR,Israel,30,"6,440",4,"178,000",435,21,90,7,"3,094","2,968",6,"1,400","358,245,427,459","41,115","39,121",7,83,,127,204,"3,905,583",49,"8,713,300"
West Asia & North Africa,JOR,Jordan,11,"10,070",4,"116,000",111,23,94,8,324,765,1,975,"41,608,435,922","4,073","9,629",39,76,,95,761,"1,966,088",21,"10,215,381"
West Asia & North Africa,KWT,Kuwait,8,"1,514",1,"25,000",121,14,,5,"1,361","2,327",0,63,"120,707,435,542","29,263","50,007",1,80,96,173,119,"2,841,715",69,"4,124,904"
West Asia & North Africa,LBN,Lebanon,66,"6,733",4,"80,000",661,17,,8,677,"1,390",14,"1,415","53,027,680,686","8,680","17,808",43,80,,72,348,"2,331,897",43,"6,109,252"
West Asia & North Africa,LBY,Libya,9,"153,500",,,56,20,,,,,0,"2,170","67,158,415,842","10,529","24,213",,72,,94,345,"1,149,730",23,"6,378,261"
West Asia & North Africa,MAR,Morocco,70,"310,465",2,"246,000",346,19,,5,166,401,13,"57,116","118,540,548,906","3,289","7,922",23,74,,123,"1,883","3,653,152",17,"35,528,115"
West Asia & North Africa,MLT,Malta,32,104,1,"2,000",560,9,90,9,"2,552","3,861",1,4,"13,489,380,931","28,824","43,509",,82,,126,9,,,"467,999"
West Asia & North Africa,OMN,Oman,5,"14,519",2,"47,000",125,20,,5,704,"1,353",0,27,"80,856,697,009","17,803","34,218",7,78,96,149,244,"1,377,500",36,"4,541,854"
West Asia & North Africa,PSE,West Bank and Gaza,74,"4,442",,,402,31,98,,,,2,101,"16,128,000,000","3,620","6,402",9,75,97,84,363,"654,538",19,"4,454,805"
West Asia & North Africa,QAT,Qatar,6,720,1,"22,000",74,10,78,3,"2,041","3,167",0,0,"161,099,122,225","59,408","92,178",18,81,93,147,88,"659,067",25,"2,711,755"
West Asia & North Africa,SAU,Saudi Arabia,81,"1,735,961",2,"252,000",59,19,,6,"1,261","2,868",0,"9,770","688,586,094,413","20,138","45,796",6,77,95,118,"2,646","6,669,098",23,"34,193,122"
West Asia & North Africa,SYR,Syrian Arab Republic,76,"139,210",5,"239,000",252,19,,,,,3,"5,221","16,369,724,433",862,,,68,,81,"5,970","2,286,820",23,"18,983,373"
West Asia & North Africa,TUN,Tunisia,63,"97,430",1,"48,000",207,18,,6,221,673,4,"6,981","42,163,966,273","3,570","10,875",10,76,,121,769,"2,254,227",28,"11,811,443"
West Asia & North Africa,YEM,"Yemen, Rep.",44,"234,520",1,"40,000",167,33,,,,,1,"5,490","26,842,231,205",894,,,66,,51,"7,528","2,681,100",25,"30,034,389"
North America,CAN,Canada,6,"580,240",0,"72,000",537,10,91,11,"4,901","5,247",39,"3,470,391","1,649,265,644,244","45,129","48,317",,82,,87,"1,338","6,009,852",20,"36,545,236"
North America,USA,United States,44,"4,058,104",1,"1,359,000",715,12,91,17,"9,904","9,904",34,"3,097,950","19,477,336,549,000","59,908","59,915",10,79,,103,"20,695","18,761,941",7,"325,122,128"
Central Asia,AFG,Afghanistan,58,"379,100",3,"323,000",327,37,,13,67,265,2,"12,084","18,896,352,022",530,"2,096",1,63,,67,"12,883","3,913,297",43,"35,643,418"
South Asia,BGD,Bangladesh,73,"95,413",0,"221,000","2,666",18,,3,42,114,14,"18,834","293,754,646,182","1,816","4,831",1,72,73,93,"11,352","18,894,385",33,"161,793,964"
South Asia,BTN,Bhutan,13,"5,130",,,"2,200",15,,3,103,351,71,"27,191","2,450,364,928","3,241","10,987",21,71,67,97,112,,,"756,121"
South Asia,IND,India,60,"1,792,356",1,"3,031,000","1,083",18,,3,57,179,24,"713,608","2,651,472,946,375","1,958","6,112",6,70,,86,"149,933","27,602,257",6,"1,354,195,680"
South Asia,LKA,Sri Lanka,45,"27,602",4,"317,000","1,712",15,80,4,146,451,34,"21,225","94,376,246,467","4,401","13,584",27,75,92,131,867,"593,517",15,"21,444,000"
